Token_7,Label_7,Token_6,Label_6,Token_4,Label_4,Token_1,Label_1,Token_2,Label_2,Token_3,Label_3
Languedoc,LOC,Languedoc,LOC,Languedoc,LOC,Languedoc,LOC,Languedoc,LOC,Languedoc,LOC
Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC
Carmélites,LOC,Carmélites,LOC,Carmélites,ORG,Carmélites,LOC,Carmélites,LOC,Carmélites,LOC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Eyssette,ORG,Eyssette,ORG,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC
Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC
Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER
Révolution,MISC,Révolution,MISC,Révolution,MISC,Révolution,MISC,Révolution,MISC,Révolution,MISC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,LOC
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Eyssette,ORG,Eyssette,ORG,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Révolution,MISC,Révolution,MISC,Révolution,MISC,Révolution,MISC,Révolution,MISC,Révolution,MISC
Eyssette,ORG,Eyssette,ORG,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,LOC
Dieu,PER,Dieu,MISC,Dieu,MISC,Dieu,MISC,Dieu,MISC,Dieu,MISC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Vendredi,PER,Vendredi,PER,Vendredi,PER,Vendredi,PER,Vendredi,MISC,Vendredi,MISC
Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Crusoé,PER,Crusoé,PER,Crusoé,PER,Crusoé,PER,Crusoé,PER,Crusoé,MISC
Robinson,PER,Robinson,MISC,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Robinson,PER,Robinson,MISC,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Récollets,ORG,Récollets,PER,Récollets,LOC,Récollets,MISC,Récollets,PER,Récollets,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
saint,PER,saint,PER,saint,PER,saint,PER,saint,PER,saint,MISC
Paul,PER,Paul,PER,Paul,PER,Paul,PER,Paul,PER,Paul,MISC
Récollets,ORG,Récollets,PER,Récollets,LOC,Récollets,MISC,Récollets,PER,Récollets,LOC
Lucifer,PER,Lucifer,MISC,Lucifer,PER,Lucifer,PER,Lucifer,MISC,Lucifer,MISC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Dieu,PER,Dieu,MISC,Dieu,MISC,Dieu,MISC,Dieu,MISC,Dieu,MISC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER
Crusoé,PER,Crusoé,PER,Crusoé,PER,Crusoé,PER,Crusoé,PER,Crusoé,MISC
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Beaucaire,LOC,Beaucaire,LOC,Beaucaire,LOC,Beaucaire,ORG,Beaucaire,LOC,Beaucaire,LOC
Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER
Evssette,PER,Evssette,PER,Evssette,PER,Evssette,PER,Evssette,PER,Evssette,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC
Géniès,PER,Géniès,PER,Géniès,PER,Géniès,PER,Géniès,PER,Géniès,PER
Montélimart,PER,Montélimart,PER,Montélimart,PER,Montélimart,LOC,Montélimart,PER,Montélimart,Ps
Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC
Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC
Nord,LOC,Nord,LOC,Nord,LOC,Nord,PER,Nord,LOC,Nord,LOC
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,LOC
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Robinson,PER,Robinson,PER,Robinson,MISC,Robinson,PER,Robinson,PER,Robinson,MISC
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Vendredi,PER,Vendredi,PER,Vendredi,PER,Vendredi,PER,Vendredi,MISC,Vendredi,MISC
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,LOC
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC
Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC
Perrache,LOC,Perrache,LOC,Perrache,LOC,Perrache,LOC,Perrache,LOC,Perrache,LOC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC
Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
M.,PER,M.,PER,M.,PER,M.,PER,M.,PER,M.,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
M.,PER,M.,PER,M.,PER,M.,PER,M.,PER,M.,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Eyssette,ORG,Eyssette,ORG,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Mme,PER,Mme,PER,Mme,PER,Mme,PER,Mme,PER,Mme,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Saint-Nizier,LOC,Saint-Nizier,LOC,Saint-Nizier,LOC,Saint-Nizier,LOC,Saint-Nizier,LOC,Saint-Nizier,LOC
Saint-,ORG,Saint-,LOC,Saint-,LOC,Saint-,LOC,Saint-,LOC,Saint-,LOC
Nizier,ORG,Nizier,LOC,Nizier,LOC,Nizier,LOC,Nizier,LOC,Nizier,LOC
Micou,PER,Micou,PER,Micou,PER,Micou,PER,Micou,PER,Micou,PER
